MAF/TIGER Object Identifier,Zip Code Tabulation Area Code,Geographic Identifier,Base Name,Legal/Statistical Area Description Code,Name,ZIP Code Tabulation Area FIPS Class Code,MAF/TIGER Feature Class Code,Functional Status,Land Area (Square Meters),Water Area (Square Meters),Centroid Latitude,Centroid Longitude,Internal Point Latitude,Internal Point Longitude,Decennial Housing Count,Decennial Population Count,Object ID,Shape Area,Shape Length
2.21704E+14,81137,81137,81137,Z5,ZCTA5 81137,B5,G6350,S,668834096,16883364,37.0554848,-107.6158634,37.0519107,-107.6136014,2273,5094,1,1078667525,269075.1256
2.21704E+14,80823,80823,80823,Z5,ZCTA5 80823,B5,G6350,S,731738462,2846899,38.6902303,-103.4674385,38.6634637,-103.4191862,107,199,2,1207532742,197082.936
2.21704E+14,81237,81237,81237,Z5,ZCTA5 81237,B5,G6350,S,139553440,99778,38.6284327,-106.5911043,38.6163123,-106.6212538,158,86,3,229172769.7,104085.0507
2.21704E+14,81251,81251,81251,Z5,ZCTA5 81251,B5,G6350,S,360471060,9653596,39.1346365,-106.4371477,39.1425479,-106.4375793,268,240,4,616032937.3,143934.1321
2.21704E+14,81435,81435,81435,Z5,ZCTA5 81435,B5,G6350,S,494557778,1109655,37.9001633,-107.9239687,37.8687513,-107.9251168,5024,5499,5,797381291.8,230585.6138
2.21704E+14,81413,81413,81413,Z5,ZCTA5 81413,B5,G6350,S,397455070,6044571,38.9716908,-107.9084694,38.9757405,-107.8990733,2996,5271,6,668506774.9,128862.1674
2.21704E+14,81040,81040,81040,Z5,ZCTA5 81040,B5,G6350,S,1229563248,426600,37.7927769,-105.2493791,37.7832216,-105.2272078,418,448,7,1972991479,280480.6241
2.21704E+14,80745,80745,80745,Z5,ZCTA5 80745,B5,G6350,S,397076614,35014,40.8880289,-103.4007014,40.8954961,-103.4125563,49,117,8,695508282.2,187998.1847
2.21704E+14,81252,81252,81252,Z5,ZCTA5 81252,B5,G6350,S,1587543753,3103440,38.1088737,-105.4213565,38.1106427,-105.4275212,3692,4252,9,2573377288,254842.8151
2.21704E+14,81330,81330,81330,Z5,ZCTA5 81330,B5,G6350,S,166136042,0,37.234851,-108.4782864,37.234851,-108.4782864,57,28,10,262571246.2,91118.47052
